x1,x2,y
-0.8921780004166067,-0.6011964343488216,darkorange
0.910191539209336,0.13299080450087786,darkorange
-0.9487981190904975,-0.6638943674042821,darkorange
0.8415262782946229,0.8872622917406261,darkorange
-0.26667051017284393,0.008816170040518045,darkorange
0.3967850939370692,-0.9058610647916794,dodgerblue
0.13870469387620687,0.7756144488230348,darkorange
-0.4319777269847691,-0.6064448063261807,darkorange
-0.9772601625882089,-0.6259316341020167,darkorange
-0.1572559615597129,0.13225279049947858,darkorange
0.22858498338609934,0.17264977749437094,darkorange
-0.9904892561025918,0.9399428381584585,dodgerblue
0.32719858875498176,-0.48825116362422705,dodgerblue
-0.768693741876632,0.5986040765419602,dodgerblue
0.8045891602523625,-0.7236325587145984,dodgerblue
-0.7980024204589427,-0.510147481225431,darkorange
0.1308309151791036,0.7247847146354616,darkorange
-0.49713665386661887,0.23571017617359757,darkorange
0.162391799967736,-0.43079812778159976,darkorange
0.905047410633415,0.3067043456248939,darkorange
0.4545576060190797,0.8949416363611817,darkorange
-0.19085469702258706,-0.08188687870278955,darkorange
-0.015271191485226154,-0.5079099843278527,darkorange
0.34428069926798344,0.06353227701038122,darkorange
-0.06353554502129555,0.4888169625774026,darkorange
-0.40851595578715205,-0.6920084916055202,darkorange
0.09233514405786991,0.7332991473376751,darkorange
0.47005124064162374,0.28937581833451986,darkorange
0.5432284018024802,0.9677034416235983,darkorange
0.6287864549085498,-0.6793648786842823,dodgerblue
-0.33374292217195034,-0.5940104573965073,darkorange
0.7824891321361065,0.6796697694808245,darkorange
-0.3825932056643069,0.06090379832312465,darkorange
0.3975375718437135,-0.7675509909167886,dodgerblue
-0.6130501725710928,0.6506364089436829,dodgerblue
0.9534151987172663,0.6895738998427987,dodgerblue
-0.6618148377165198,-0.3840980199165642,darkorange
-0.6591465678066015,0.8064081524498761,dodgerblue
0.25618080981075764,0.4480585614219308,darkorange
0.4683910710737109,0.7666590469889343,darkorange
0.8782264837063849,-0.3332779807969928,dodgerblue
0.5365924215875566,0.9925028020516038,darkorange
-0.6673847329802811,-0.74292809702456,darkorange
-0.43940969184041023,-0.9443635125644505,darkorange
